INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaTranTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
DD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
DL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
DN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
GA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
GJ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
HP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
HR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
JH,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
JK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
KA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
KL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
LA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
LD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
MH,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
ML,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
MN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
MP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
MZ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
NL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
OD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
PB,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
PC,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
RJ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
SK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
TR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
TS,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
UK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
UP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
WB,trn_freight_road,Truck,NG,share-weight,2045,2050,0.05,0.05,fixed
AN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
AP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
AR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
AS,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
BR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
CG,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
CH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
DD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
DL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
DN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
GA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
GJ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
HP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
HR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
JH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
JK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
KA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
KL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
LA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
LD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
MH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
ML,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
MN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
MP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
MZ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
NL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
OD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
PB,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
PC,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
RJ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
SK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
TN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
TR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
TS,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
UK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
UP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
WB,trn_freight_road,Truck,NG,share-weight,2050,2100,0.05,0.5,linear
AN,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
AP,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
AR,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
AS,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
BR,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
CG,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
CH,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
DD,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
DL,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
DN,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
GA,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
GJ,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
HP,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
HR,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
JH,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
JK,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
KA,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
KL,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
LA,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
LD,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
MH,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
ML,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
MN,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
MP,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
MZ,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
NL,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
OD,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
PB,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
PC,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
RJ,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
SK,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
TN,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
TR,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
TS,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
UK,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
UP,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
WB,trn_freight_road,Truck,NG,share-weight,2095,2100,0.5,0.5,fixed
